wav,label
rhge2084-clipping_40_70_percent-0.5556-47116.wav,clipping_40_70_percent
trge3289-reverberacion_LowLow-air_binaural_booth_0_1_1.wav,reverberacion_LowLow
OJFA0052-reverberacion_HightHight-air_binaural_aula_carolina_0_1_6_90_3.wav,reverberacion_HightHight
zage0368-clipping_5_10_percent-0.0961-12374.wav,clipping_5_10_percent
ewge0033-noise_5_10db_SNR-5.61-DKITCHEN.wav,noise_5_10db_SNR
MAFA0149-clipping_10_20_percent-0.1705-7151.wav,clipping_10_20_percent
JIFA0087-clipping_70_90_percent-0.8117-34872.wav,clipping_70_90_percent
BOFA0199-clipping_5_10_percent-0.0637-2587.wav,clipping_5_10_percent
TGFA0055-reverberacion_Hight-air_binaural_aula_carolina_1_1_3_135_3.wav,reverberacion_Hight
YBFP0250-clipping_09_5_percent-0.0346-2346.wav,clipping_09_5_percent
icge2184-clipping_20_40_percent-0.2105-9420.wav,clipping_20_40_percent
XGFA0051-reverberacion_Hight-air_binaural_aula_carolina_0_1_1_90_3.wav,reverberacion_Hight
bxge3125-clipping_5_10_percent-0.0805-4913.wav,clipping_5_10_percent
XTFA0046-clipping_09_5_percent-0.0487-2322.wav,clipping_09_5_percent
OPFA0086-reverberacion_Lowhight-air_binaural_meeting_1_1_1.wav,reverberacion_Lowhight
zfge1525-clipping_10_20_percent-0.1274-7989.wav,clipping_10_20_percent
DIFP0402-noise_0_5db_SNR-1.86-DKITCHEN.wav,noise_0_5db_SNR
rwge0033-clipping_20_40_percent-0.3817-45162.wav,clipping_20_40_percent
vcge1176-clipping_20_40_percent-0.3352-38103.wav,clipping_20_40_percent
idge1561-noise_0_5db_SNR-4.85-DKITCHEN.wav,noise_0_5db_SNR
bsge4104-clipping_10_20_percent-0.1573-12582.wav,clipping_10_20_percent
XCFA0045-limpio.wav,limpio
rlge0725-noise_0_5db_SNR-3.71-PSTATION.wav,noise_0_5db_SNR
NNFA0143-reverberacion_Hight-air_binaural_aula_carolina_0_1_1_90_3.wav,reverberacion_Hight
BSFA0074-reverberacion_HightHight-air_binaural_aula_carolina_0_1_7_90_3.wav,reverberacion_HightHight
nwge3588-clipping_70_90_percent-0.7997-28980.wav,clipping_70_90_percent
CHFA0138-noise_0_5db_SNR-0.47-DKITCHEN.wav,noise_0_5db_SNR
KBFP0225-reverberacion_Lowhight-air_binaural_meeting_1_1_3.wav,reverberacion_Lowhight
vige2334-clipping_20_40_percent-0.3557-8565.wav,clipping_20_40_percent
