wav,label
p244_106-clipping_05_09_percent-0.0074-268.wav,clipping_05_09_percent
p360_395-reverberacion_MediumHight-air_binaural_lecture_0_1_1.wav,reverberacion_MediumHight
p259_158-clipping_10_20_percent-0.1918-9032.wav,clipping_10_20_percent
p351_401-clipping_09_5_percent-0.0444-2053.wav,clipping_09_5_percent
p361_340-clipping_05_09_percent-0.0063-183.wav,clipping_05_09_percent
p243_225-clipping_40_70_percent-0.6174-44086.wav,clipping_40_70_percent
p239_073-clipping_20_40_percent-0.3472-13723.wav,clipping_20_40_percent
p287_360-clipping_40_70_percent-0.4341-27737.wav,clipping_40_70_percent
p275_275-reverberacion_Hight-air_phone_corridor_hhp_0.wav,reverberacion_Hight
p241_326-reverberacion_MediumHight-air_binaural_lecture_0_1_4.wav,reverberacion_MediumHight
p292_034-clipping_5_10_percent-0.0693-2307.wav,clipping_5_10_percent
p287_360-clipping_10_20_percent-0.1803-11521.wav,clipping_10_20_percent
p256_074-reverberacion_LowLow-air_binaural_booth_0_1_1.wav,reverberacion_LowLow
p263_188-clipping_05_09_percent-0.006-426.wav,clipping_05_09_percent
p303_066-reverberacion_Lowhight-air_binaural_meeting_0_1_4.wav,reverberacion_Lowhight
p316_333-clipping_70_90_percent-0.8628-37133.wav,clipping_70_90_percent
p341_275-clipping_09_5_percent-0.0236-846.wav,clipping_09_5_percent
p244_106-reverberacion_LowLow-air_binaural_booth_1_1_2.wav,reverberacion_LowLow
p263_188-clipping_5_10_percent-0.09-6364.wav,clipping_5_10_percent
p263_188-clipping_10_20_percent-0.1662-11752.wav,clipping_10_20_percent
p282_142-clipping_5_10_percent-0.0829-3253.wav,clipping_5_10_percent
p301_156-clipping_09_5_percent-0.0394-1697.wav,clipping_09_5_percent
p287_360-reverberacion_LowLow-air_binaural_booth_0_1_1.wav,reverberacion_LowLow
p283_330-reverberacion_MediumLow-air_phone_kitchen_hhp_0.wav,reverberacion_MediumLow
p298_209-clipping_09_5_percent-0.0135-1056.wav,clipping_09_5_percent
p335_407-reverberacion_MediumHight-air_binaural_lecture_1_1_6.wav,reverberacion_MediumHight
p345_284-clipping_40_70_percent-0.5201-20556.wav,clipping_40_70_percent
p334_385-clipping_05_09_percent-0.0083-301.wav,clipping_05_09_percent
p284_198-reverberacion_MediumLow-air_binaural_office_1_1_2.wav,reverberacion_MediumLow
p256_074-clipping_05_09_percent-0.0084-464.wav,clipping_05_09_percent
p234_306-reverberacion_HightHight-air_binaural_aula_carolina_0_1_7_90_3.wav,reverberacion_HightHight
p255_143-clipping_5_10_percent-0.0655-2919.wav,clipping_5_10_percent
p316_333-clipping_10_20_percent-0.1906-8204.wav,clipping_10_20_percent
p308_325-clipping_09_5_percent-0.0121-810.wav,clipping_09_5_percent
p248_127-reverberacion_MediumLow-air_phone_office_hfrp_0.wav,reverberacion_MediumLow
p244_106-reverberacion_Lowhight-air_binaural_meeting_0_1_1.wav,reverberacion_Lowhight
p267_132-reverberacion_MediumHight-air_binaural_lecture_0_1_3.wav,reverberacion_MediumHight
p347_388-reverberacion_LowLow-air_binaural_booth_0_1_1.wav,reverberacion_LowLow
p285_272-clipping_05_09_percent-0.0077-386.wav,clipping_05_09_percent
p245_313-reverberacion_Hight-air_phone_corridor_hfrp_1.wav,reverberacion_Hight
p304_340-clipping_40_70_percent-0.4321-19497.wav,clipping_40_70_percent
p244_106-clipping_5_10_percent-0.0688-2479.wav,clipping_5_10_percent
p304_340-reverberacion_Hight-air_phone_corridor_hfrp_0.wav,reverberacion_Hight
p249_122-clipping_70_90_percent-0.7467-20361.wav,clipping_70_90_percent
p278_239-reverberacion_MediumLow-air_phone_office_hfrp_1.wav,reverberacion_MediumLow
p246_196-clipping_10_20_percent-0.1047-5026.wav,clipping_10_20_percent
