wav,label
rkge1156-reverberacion_MediumLow-air_phone_office_hfrp_0.wav,reverberacion_MediumLow
grge3649-noise_0_5db_SNR-3.62-CAR.wav,noise_0_5db_SNR
rgge1171-noise_0_5db_SNR-0.44-DKITCHEN.wav,noise_0_5db_SNR
BPFA0200-clipping_20_40_percent-0.2191-12832.wav,clipping_20_40_percent
OCFA0055-reverberacion_Lowhight-air_binaural_meeting_0_1_5.wav,reverberacion_Lowhight
TOFA0071-noise_10_20db_SNR-10.91-CAR.wav,noise_10_20db_SNR
igge0844-clipping_5_10_percent-0.0637-3252.wav,clipping_5_10_percent
PAFP0036-reverberacion_MediumHight-air_binaural_lecture_0_1_3.wav,reverberacion_MediumHight
JDFA0024-clipping_09_5_percent-0.0152-897.wav,clipping_09_5_percent
NDFA0148-reverberacion_MediumHight-air_binaural_lecture_0_1_4.wav,reverberacion_MediumHight
BCFA0187-reverberacion_Lowhight-air_binaural_meeting_0_1_2.wav,reverberacion_Lowhight
XEFA0143-noise_5_10db_SNR-8.85-PCAFETER.wav,noise_5_10db_SNR
AAFA0063-reverberacion_MediumHight-air_binaural_lecture_1_1_5.wav,reverberacion_MediumHight
BWFA0142-reverberacion_MediumLow-air_binaural_office_1_1_1.wav,reverberacion_MediumLow
YDFP0414-limpio.wav,limpio
JRFA0179-clipping_20_40_percent-0.2149-14705.wav,clipping_20_40_percent
abge3782-clipping_09_5_percent-0.0336-2100.wav,clipping_09_5_percent
egge0643-reverberacion_MediumLow-air_phone_kitchen_hhp_0.wav,reverberacion_MediumLow
lgge1190-reverberacion_MediumHight-air_binaural_lecture_1_1_5.wav,reverberacion_MediumHight
rdge1936-noise_5_10db_SNR-6.49-STRAFFIC.wav,noise_5_10db_SNR
UEFP0352-reverberacion_Lowhight-air_binaural_meeting_0_1_2.wav,reverberacion_Lowhight
XLFA0121-reverberacion_Hight-air_phone_corridor_hfrp_1.wav,reverberacion_Hight
XRFA0019-noise_0_5db_SNR-2.52-CAR.wav,noise_0_5db_SNR
aage4121-limpio.wav,limpio
GRFA0110-reverberacion_MediumHight-air_binaural_lecture_0_1_1.wav,reverberacion_MediumHight
XLFA0121-noise_5_10db_SNR-7.89-PCAFETER.wav,noise_5_10db_SNR
rdge1936-limpio.wav,limpio
GTFA0003-reverberacion_Hight-air_binaural_aula_carolina_1_1_3_135_3.wav,reverberacion_Hight
roge1448-reverberacion_Hight-air_binaural_aula_carolina_0_1_1_90_3.wav,reverberacion_Hight
CPFA0139-clipping_20_40_percent-0.2211-9337.wav,clipping_20_40_percent
YDFP0414-noise_10_20db_SNR-16.34-CAR.wav,noise_10_20db_SNR
GRFA0110-reverberacion_Lowhight-air_binaural_meeting_0_1_4.wav,reverberacion_Lowhight
TLFA0141-reverberacion_MediumHight-air_binaural_lecture_1_1_5.wav,reverberacion_MediumHight
OIFA0101-clipping_5_10_percent-0.0664-3247.wav,clipping_5_10_percent
rtge2508-reverberacion_Hight-air_phone_corridor_hfrp_0.wav,reverberacion_Hight
NMFA0096-noise_5_10db_SNR-7.87-DKITCHEN.wav,noise_5_10db_SNR
BXFA0111-noise_0_5db_SNR-0.25-STRAFFIC.wav,noise_0_5db_SNR
CDFA0164-reverberacion_Lowhight-air_binaural_meeting_1_1_2.wav,reverberacion_Lowhight
rage1549-reverberacion_MediumLow-air_binaural_office_0_1_3.wav,reverberacion_MediumLow
evge0140-limpio.wav,limpio
PEFP0240-clipping_09_5_percent-0.0132-976.wav,clipping_09_5_percent
