wav,label
BAFA0145-noise_0_5db_SNR-1.47-STRAFFIC.wav,noise_0_5db_SNR
BDFA0196-noise_0_5db_SNR-1.54-CAR.wav,noise_0_5db_SNR
BBFA0106-noise_5_10db_SNR-6.95-CAR.wav,noise_5_10db_SNR
abge3802-reverberacion_Hight-air_phone_corridor_hfrp_0.wav,reverberacion_Hight
BAFA0145-clipping_20_40_percent-0.3869-23170.wav,clipping_20_40_percent
aage3781-clipping_09_5_percent-0.0207-987.wav,clipping_09_5_percent
BEFA0061-reverberacion_MediumLow-air_phone_kitchen_hfrp_1.wav,reverberacion_MediumLow
BAFA0145-clipping_09_5_percent-0.0111-661.wav,clipping_09_5_percent
BCFA0171-clipping_5_10_percent-0.0893-4094.wav,clipping_5_10_percent
AAFA0020-noise_10_20db_SNR-13.17-PCAFETER.wav,noise_10_20db_SNR
AAFA0020-reverberacion_Hight-air_binaural_aula_carolina_0_1_2_90_3.wav,reverberacion_Hight
BAFA0145-noise_5_10db_SNR-6.44-CAR.wav,noise_5_10db_SNR
BEFA0061-reverberacion_MediumHight-air_binaural_lecture_0_1_3.wav,reverberacion_MediumHight
aage3781-noise_10_20db_SNR-16.23-CAR.wav,noise_10_20db_SNR
BAFA0145-reverberacion_Hight-air_phone_corridor_hhp_0.wav,reverberacion_Hight
BDFA0196-reverberacion_Hight-air_binaural_aula_carolina_0_1_1_90_3.wav,reverberacion_Hight
abge3802-clipping_5_10_percent-0.0846-6516.wav,clipping_5_10_percent
BEFA0061-clipping_40_70_percent-0.4272-26634.wav,clipping_40_70_percent
aage3781-clipping_20_40_percent-0.2558-12176.wav,clipping_20_40_percent
aage3781-reverberacion_MediumHight-air_binaural_lecture_1_1_1.wav,reverberacion_MediumHight
aage3781-reverberacion_MediumLow-air_phone_kitchen_hfrp_0.wav,reverberacion_MediumLow
BDFA0196-reverberacion_Lowhight-air_binaural_meeting_1_1_3.wav,reverberacion_Lowhight
BEFA0061-noise_5_10db_SNR-8.19-PCAFETER.wav,noise_5_10db_SNR
BDFA0196-clipping_5_10_percent-0.0818-3745.wav,clipping_5_10_percent
ABFA0004-clipping_09_5_percent-0.0482-2444.wav,clipping_09_5_percent
ABFA0004-limpio.wav,limpio
BBFA0106-limpio.wav,limpio
BBFA0106-reverberacion_Hight-air_phone_corridor_hfrp_0.wav,reverberacion_Hight
BBFA0106-noise_0_5db_SNR-1.96-CAR.wav,noise_0_5db_SNR
aage3781-reverberacion_Lowhight-air_binaural_meeting_1_1_5.wav,reverberacion_Lowhight
abge3802-clipping_40_70_percent-0.6055-46621.wav,clipping_40_70_percent
BAFA0145-reverberacion_Lowhight-air_binaural_meeting_1_1_5.wav,reverberacion_Lowhight
abge3802-clipping_09_5_percent-0.0483-3721.wav,clipping_09_5_percent
BAFA0145-reverberacion_MediumHight-air_binaural_lecture_1_1_6.wav,reverberacion_MediumHight
AAFA0020-clipping_40_70_percent-0.4004-22700.wav,clipping_40_70_percent
BCFA0171-noise_5_10db_SNR-8.26-CAR.wav,noise_5_10db_SNR
AAFA0020-reverberacion_Lowhight-air_binaural_meeting_0_1_1.wav,reverberacion_Lowhight
ABFA0004-reverberacion_MediumHight-air_binaural_lecture_0_1_4.wav,reverberacion_MediumHight
BCFA0171-clipping_20_40_percent-0.2237-10262.wav,clipping_20_40_percent
aage3781-reverberacion_Hight-air_phone_corridor_hhp_1.wav,reverberacion_Hight
AAFA0020-reverberacion_MediumLow-air_phone_office_hfrp_0.wav,reverberacion_MediumLow
ABFA0004-noise_10_20db_SNR-16.63-CAR.wav,noise_10_20db_SNR
BCFA0171-noise_10_20db_SNR-19.6-STRAFFIC.wav,noise_10_20db_SNR
BCFA0171-clipping_40_70_percent-0.4476-20528.wav,clipping_40_70_percent
AAFA0020-reverberacion_MediumHight-air_binaural_lecture_0_1_3.wav,reverberacion_MediumHight
aage3781-noise_5_10db_SNR-9.12-STRAFFIC.wav,noise_5_10db_SNR
AAFA0020-noise_0_5db_SNR-1.13-STRAFFIC.wav,noise_0_5db_SNR
abge3802-limpio.wav,limpio
BBFA0106-reverberacion_Lowhight-air_binaural_meeting_0_1_2.wav,reverberacion_Lowhight
BDFA0196-clipping_20_40_percent-0.3752-17178.wav,clipping_20_40_percent
BCFA0171-reverberacion_MediumLow-air_binaural_office_0_1_2.wav,reverberacion_MediumLow
ABFA0004-noise_0_5db_SNR-3.65-PCAFETER.wav,noise_0_5db_SNR
abge3802-noise_10_20db_SNR-16.44-STRAFFIC.wav,noise_10_20db_SNR
BEFA0061-clipping_09_5_percent-0.0424-2642.wav,clipping_09_5_percent
AAFA0020-clipping_09_5_percent-0.0122-691.wav,clipping_09_5_percent
BAFA0145-noise_10_20db_SNR-13.17-PCAFETER.wav,noise_10_20db_SNR
BBFA0106-clipping_20_40_percent-0.2147-11354.wav,clipping_20_40_percent
aage3781-limpio.wav,limpio
abge3802-reverberacion_MediumLow-air_binaural_office_1_1_3.wav,reverberacion_MediumLow
BEFA0061-reverberacion_Hight-air_phone_corridor_hfrp_1.wav,reverberacion_Hight
BCFA0171-reverberacion_MediumHight-air_binaural_lecture_1_1_3.wav,reverberacion_MediumHight
BAFA0145-limpio.wav,limpio
aage3781-clipping_40_70_percent-0.6766-32207.wav,clipping_40_70_percent
abge3802-clipping_20_40_percent-0.2891-22260.wav,clipping_20_40_percent
BDFA0196-limpio.wav,limpio
BBFA0106-clipping_40_70_percent-0.4426-23405.wav,clipping_40_70_percent
ABFA0004-clipping_5_10_percent-0.0557-2824.wav,clipping_5_10_percent
BDFA0196-reverberacion_MediumHight-air_binaural_lecture_0_1_6.wav,reverberacion_MediumHight
BAFA0145-clipping_40_70_percent-0.4719-28257.wav,clipping_40_70_percent
BBFA0106-clipping_09_5_percent-0.0325-1716.wav,clipping_09_5_percent
BCFA0171-reverberacion_Hight-air_phone_corridor_hhp_1.wav,reverberacion_Hight
abge3802-reverberacion_MediumHight-air_binaural_lecture_0_1_1.wav,reverberacion_MediumHight
ABFA0004-reverberacion_MediumLow-air_phone_kitchen_hfrp_0.wav,reverberacion_MediumLow
BCFA0171-noise_0_5db_SNR-1.96-CAR.wav,noise_0_5db_SNR
BFFA0118-clipping_09_5_percent-0.0355-1436.wav,clipping_09_5_percent
AAFA0020-noise_5_10db_SNR-5.69-DKITCHEN.wav,noise_5_10db_SNR
BEFA0061-noise_0_5db_SNR-4.36-CAR.wav,noise_0_5db_SNR
BCFA0171-clipping_09_5_percent-0.0194-890.wav,clipping_09_5_percent
ABFA0004-reverberacion_Hight-air_phone_corridor_hfrp_1.wav,reverberacion_Hight
