wav,label,mezcla
BAFA0105-noiseAndClipping-noise_10_20db_SNR-clipping_09_5_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_09_5_percent
aage3541-noiseAndClipping-noise_5_10db_SNR-clipping_5_10_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_5_10_percent
BKFA0167-noiseAndClipping-noise_5_10db_SNR-clipping_5_10_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_5_10_percent
TSFA0038-noiseAndClipping-noise_0_5db_SNR-clipping_5_10_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_5_10_percent
DJFP0500-noiseAndClipping-noise_0_5db_SNR-clipping_5_10_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_5_10_percent
BJFA0075-noiseAndClipping-noise_0_5db_SNR-clipping_40_70_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_40_70_percent
YCFP0262-noiseAndClipping-noise_5_10db_SNR-clipping_09_5_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_09_5_percent
BBFA0090-noiseAndClipping-noise_10_20db_SNR-clipping_40_70_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_40_70_percent
AAFA0123-noiseAndClipping-noise_5_10db_SNR-clipping_5_10_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_5_10_percent
BFFA0102-noiseAndClipping-noise_10_20db_SNR-clipping_5_10_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_5_10_percent
TTFA0028-noiseAndClipping-noise_5_10db_SNR-clipping_09_5_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_09_5_percent
zbge2673-noiseAndClipping-noise_0_5db_SNR-clipping_40_70_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_40_70_percent
BEFA0013-noiseAndClipping-noise_5_10db_SNR-clipping_40_70_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_40_70_percent
BGFA0087-noiseAndClipping-noise_0_5db_SNR-clipping_40_70_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_40_70_percent
zcge0418-noiseAndClipping-noise_0_5db_SNR-clipping_40_70_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_40_70_percent
zdge0659-noiseAndClipping-noise_10_20db_SNR-clipping_5_10_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_5_10_percent
zgge1094-noiseAndClipping-noise_0_5db_SNR-clipping_20_40_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_20_40_percent
tsge3810-noiseAndClipping-noise_5_10db_SNR-clipping_20_40_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_20_40_percent
BDFA0196-noiseAndClipping-noise_10_20db_SNR-clipping_09_5_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_09_5_percent
zkge4000-noiseAndClipping-noise_5_10db_SNR-clipping_09_5_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_09_5_percent
YDFP0427-noiseAndClipping-noise_10_20db_SNR-clipping_09_5_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_09_5_percent
zage1472-noiseAndClipping-noise_0_5db_SNR-clipping_09_5_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_09_5_percent
DGFP0332-noiseAndClipping-noise_10_20db_SNR-clipping_20_40_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_20_40_percent
BCFA0115-noiseAndClipping-noise_0_5db_SNR-clipping_40_70_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_40_70_percent
ttge3411-noiseAndClipping-noise_10_20db_SNR-clipping_09_5_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_09_5_percent
zhge1239-noiseAndClipping-noise_0_5db_SNR-clipping_20_40_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_20_40_percent
ABFA0097-noiseAndClipping-noise_5_10db_SNR-clipping_40_70_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_40_70_percent
DHFP0380-noiseAndClipping-noise_10_20db_SNR-clipping_20_40_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-clipping_20_40_percent
TUFA0015-noiseAndClipping-noise_0_5db_SNR-clipping_40_70_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-clipping_40_70_percent
YEFP0478-noiseAndClipping-noise_5_10db_SNR-clipping_20_40_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-clipping_20_40_percent
