wav,label,mezcla
XIFA0193-noiseAndRever-noise_0_5db_SNR-reverberacion_MediumLow.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
bxge3013-noiseAndRever-noise_5_10db_SNR-reverberacion_MediumLow.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumLow
CIFA0090-noiseAndRever-noise_5_10db_SNR-reverberacion_MediumHight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
vjge1039-noiseAndRever-noise_0_5db_SNR-reverberacion_MediumLow.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
XJFA0127-noiseAndRever-noise_5_10db_SNR-reverberacion_MediumHight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
egge1075-noiseAndRever-noise_5_10db_SNR-reverberacion_Hight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
CCFA0025-noiseAndRever-noise_10_20db_SNR-reverberacion_Hight.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Hight
BWFA0086-noiseAndRever-noise_5_10db_SNR-reverberacion_MediumLow.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumLow
ehge0980-noiseAndRever-noise_5_10db_SNR-reverberacion_Lowhight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Lowhight
CEFA0155-noiseAndRever-noise_10_20db_SNR-reverberacion_MediumHight.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumHight
XEFA0143-noiseAndRever-noise_5_10db_SNR-reverberacion_Hight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
CHFA0094-noiseAndRever-noise_5_10db_SNR-reverberacion_Hight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
bwge3608-noiseAndRever-noise_10_20db_SNR-reverberacion_Hight.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Hight
vlge0119-noiseAndRever-noise_0_5db_SNR-reverberacion_MediumHight.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumHight
XDFA0068-noiseAndRever-noise_5_10db_SNR-reverberacion_MediumHight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
vmge3278-noiseAndRever-noise_0_5db_SNR-reverberacion_Lowhight.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_Lowhight
ejge0617-noiseAndRever-noise_5_10db_SNR-reverberacion_Hight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
TLFA0040-noiseAndRever-noise_0_5db_SNR-reverberacion_MediumLow.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
BYFA0056-noiseAndRever-noise_5_10db_SNR-reverberacion_MediumHight.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
CGFA0061-noiseAndRever-noise_0_5db_SNR-reverberacion_Lowhight.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_Lowhight
CFFA0048-noiseAndRever-noise_10_20db_SNR-reverberacion_MediumLow.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumLow
CBFA0034-noiseAndRever-noise_0_5db_SNR-reverberacion_MediumHight.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumHight
TIFA0019-noiseAndRever-noise_0_5db_SNR-reverberacion_Hight.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_Hight
CAFA0031-noiseAndRever-noise_0_5db_SNR-reverberacion_Lowhight.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_Lowhight
XAFA0011-noiseAndRever-noise_0_5db_SNR-reverberacion_MediumLow.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
TMFA0032-noiseAndRever-noise_0_5db_SNR-reverberacion_Lowhight.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_Lowhight
