wav,label,mezcla
eoge0718-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_MediumHight-clipping_09_5_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumHight
COFA0099-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Hight-clipping_5_10_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
elge1387-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_MediumLow-clipping_40_70_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumLow
CHFA0094-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_Hight-clipping_40_70_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Hight
vbge0599-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_Lowhight-clipping_09_5_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Lowhight
DEFP0201-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Lowhight-clipping_40_70_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Lowhight
UCFP0114-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Hight-clipping_20_40_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
vdge1225-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_MediumLow-clipping_40_70_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumLow
TDFA0124-noiseReverAndClipping-noise_0_5db_SNR-reverberacion_Lowhight-clipping_5_10_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_Lowhight
DBFP0095-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_MediumHight-clipping_5_10_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
vfge2235-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_MediumHight-clipping_09_5_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
CLFA0157-noiseReverAndClipping-noise_0_5db_SNR-reverberacion_Lowhight-clipping_09_5_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_Lowhight
epge0671-noiseReverAndClipping-noise_0_5db_SNR-reverberacion_MediumHight-clipping_09_5_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumHight
enge2637-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_MediumHight-clipping_09_5_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
DAFP0013-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_Hight-clipping_20_40_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Hight
TEFA0133-noiseReverAndClipping-noise_0_5db_SNR-reverberacion_MediumLow-clipping_20_40_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
vhge1853-noiseReverAndClipping-noise_0_5db_SNR-reverberacion_MediumLow-clipping_09_5_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumLow
vcge1896-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_Hight-clipping_20_40_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_Hight
vage2518-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_MediumHight-clipping_20_40_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
CJFA0013-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_MediumHight-clipping_40_70_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_MediumHight
THFA0144-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Hight-clipping_20_40_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Hight
vige1134-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Lowhight-clipping_09_5_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Lowhight
CMFA0144-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_MediumHight-clipping_40_70_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumHight
emge1964-noiseReverAndClipping-noise_5_10db_SNR-reverberacion_Lowhight-clipping_20_40_percent.wav,noise_5_10db_SNR,noise_5_10db_SNR-reverberacion_Lowhight
DDFP0170-noiseReverAndClipping-noise_10_20db_SNR-reverberacion_MediumHight-clipping_09_5_percent.wav,noise_10_20db_SNR,noise_10_20db_SNR-reverberacion_MediumHight
UBFP0059-noiseReverAndClipping-noise_0_5db_SNR-reverberacion_MediumHight-clipping_09_5_percent.wav,noise_0_5db_SNR,noise_0_5db_SNR-reverberacion_MediumHight
